datetime,TOWNNAME,COUNTYNAME,total_flood_loss
2020-01-02,七股區,臺南市,0.0
2020-01-02,三峽區,新北市,0.0
2020-01-02,中埔鄉,嘉義縣,0.0
2020-01-02,中正區,基隆市,0.0
2020-01-02,二崙鄉,雲林縣,0.0
2020-01-02,五結鄉,宜蘭縣,0.0
2020-01-02,仁德區,臺南市,0.0
2020-01-02,仁愛區,基隆市,0.0
2020-01-02,仁武區,高雄市,0.0
2020-01-02,元長鄉,雲林縣,0.0
2020-01-02,內埔鄉,屏東縣,0.0
2020-01-02,八里區,新北市,0.0
2020-01-02,六腳鄉,嘉義縣,0.0
2020-01-02,冬山鄉,宜蘭縣,0.0
2020-01-02,北區,臺南市,0.0
2020-01-02,北投區,臺北市,0.0
2020-01-02,北港鎮,雲林縣,0.0
2020-01-02,北門區,臺南市,0.0
2020-01-02,卑南鄉,臺東縣,0.0
2020-01-02,南投市,南投縣,0.0
2020-01-02,口湖鄉,雲林縣,0.0
2020-01-02,吉安鄉,花蓮縣,0.0
2020-01-02,員林市,彰化縣,0.0
2020-01-02,四湖鄉,雲林縣,0.0
2020-01-02,土城區,新北市,0.0
2020-01-02,土庫鎮,雲林縣,0.0
2020-01-02,壽豐鄉,花蓮縣,0.0
2020-01-02,大城鄉,彰化縣,0.0
2020-01-02,大埤鄉,雲林縣,0.0
2020-01-02,大安區,臺中市,0.0
2020-01-02,大寮區,高雄市,0.0
2020-01-02,大林鎮,嘉義縣,0.0
2020-01-02,大里區,臺中市,0.0
2020-01-02,太保市,嘉義縣,0.0
2020-01-02,安南區,臺南市,0.0
2020-01-02,宜蘭市,宜蘭縣,0.0
2020-01-02,岡山區,高雄市,0.0
2020-01-02,崙背鄉,雲林縣,0.0
2020-01-02,布袋鎮,嘉義縣,0.0
2020-01-02,平溪區,新北市,0.0
2020-01-02,後壁區,臺南市,0.0
2020-01-02,恆春鎮,屏東縣,0.0
2020-01-02,文山區,臺北市,0.0
2020-01-02,斗南鎮,雲林縣,0.0
2020-01-02,新化區,臺南市,0.0
2020-01-02,新埔鎮,新竹縣,0.0
2020-01-02,新市區,臺南市,0.0
2020-01-02,新店區,新北市,0.0
2020-01-02,新港鄉,嘉義縣,0.0
2020-01-02,新營區,臺南市,0.0
2020-01-02,新莊區,新北市,0.0
2020-01-02,旗山區,高雄市,0.0
2020-01-02,朴子市,嘉義縣,0.0
2020-01-02,東區,新竹市,0.0
2020-01-02,東港鎮,屏東縣,0.0
2020-01-02,東石鄉,嘉義縣,0.0
2020-01-02,枋寮鄉,屏東縣,0.0
2020-01-02,桃園區,桃園市,0.0
2020-01-02,梅山鄉,嘉義縣,0.0
2020-01-02,梓官區,高雄市,0.0
2020-01-02,樹林區,新北市,0.0
2020-01-02,橋頭區,高雄市,0.0
2020-01-02,民雄鄉,嘉義縣,0.0
2020-01-02,水上鄉,嘉義縣,0.0
2020-01-02,水林鄉,雲林縣,0.0
2020-01-02,永和區,新北市,0.0
2020-01-02,永康區,臺南市,0.0
2020-01-02,淡水區,新北市,0.0
2020-01-02,溪口鄉,嘉義縣,0.0
2020-01-02,潭子區,臺中市,0.0
2020-01-02,田寮區,高雄市,0.0
2020-01-02,番路鄉,嘉義縣,0.0
2020-01-02,白河區,臺南市,0.0
2020-01-02,礁溪鄉,宜蘭縣,0.0
2020-01-02,社頭鄉,彰化縣,0.0
2020-01-02,竹崎鄉,嘉義縣,0.0
2020-01-02,美濃區,高雄市,0.0
2020-01-02,義竹鄉,嘉義縣,0.0
2020-01-02,臺東市,臺東縣,0.0
2020-01-02,臺西鄉,雲林縣,0.0
2020-01-02,花蓮市,花蓮縣,0.0
2020-01-02,芳苑鄉,彰化縣,0.0
2020-01-02,草屯鎮,南投縣,0.0
2020-01-02,萬里區,新北市,0.0
2020-01-02,虎尾鎮,雲林縣,0.0
2020-01-02,褒忠鄉,雲林縣,0.0
2020-01-02,西區,嘉義市,0.0
2020-01-02,貢寮區,新北市,0.0
2020-01-02,金山區,新北市,0.0
2020-01-02,金峰鄉,臺東縣,0.0
2020-01-02,霧峰區,臺中市,0.0
2020-01-02,頭份市,苗栗縣,0.0
2020-01-02,鹽埔鄉,屏東縣,0.0
2020-01-02,鹽水區,臺南市,0.0
2020-01-02,鹿草鄉,嘉義縣,0.0
2020-01-02,麥寮鄉,雲林縣,0.0
2020-01-02,麻豆區,臺南市,0.0
2020-01-03,七股區,臺南市,0.0
2020-01-03,三峽區,新北市,0.0
2020-01-03,中埔鄉,嘉義縣,0.0
2020-01-03,中正區,基隆市,0.0
2020-01-03,二崙鄉,雲林縣,0.0
2020-01-03,五結鄉,宜蘭縣,0.0
2020-01-03,仁德區,臺南市,0.0
2020-01-03,仁愛區,基隆市,0.0
2020-01-03,仁武區,高雄市,0.0
2020-01-03,元長鄉,雲林縣,0.0
2020-01-03,內埔鄉,屏東縣,0.0
2020-01-03,八德區,桃園市,0.0
2020-01-03,八里區,新北市,0.0
2020-01-03,六腳鄉,嘉義縣,0.0
2020-01-03,冬山鄉,宜蘭縣,0.0
2020-01-03,北區,臺南市,0.0
2020-01-03,北投區,臺北市,0.0
2020-01-03,北港鎮,雲林縣,0.0
2020-01-03,北門區,臺南市,0.0
2020-01-03,卑南鄉,臺東縣,0.0
2020-01-03,南投市,南投縣,0.0
2020-01-03,口湖鄉,雲林縣,0.0
2020-01-03,吉安鄉,花蓮縣,0.0
2020-01-03,員林市,彰化縣,0.0
2020-01-03,四湖鄉,雲林縣,0.0
2020-01-03,土城區,新北市,0.0
2020-01-03,土庫鎮,雲林縣,0.0
2020-01-03,壽豐鄉,花蓮縣,0.0
2020-01-03,大城鄉,彰化縣,0.0
2020-01-03,大埤鄉,雲林縣,0.0
2020-01-03,大安區,臺中市,0.0
2020-01-03,大寮區,高雄市,0.0
2020-01-03,大林鎮,嘉義縣,0.0
2020-01-03,大里區,臺中市,0.0
