datetime,TOWNNAME,COUNTYNAME,total_flood_loss
2025-01-01,中埔鄉,嘉義縣,0.0
2025-01-01,二林鎮,彰化縣,0.0
2025-01-01,二水鄉,彰化縣,0.0
2025-01-01,佳冬鄉,屏東縣,0.0
2025-01-01,元長鄉,雲林縣,0.0
2025-01-01,光復鄉,花蓮縣,0.0
2025-01-01,六腳鄉,嘉義縣,0.0
2025-01-01,北港鎮,雲林縣,0.0
2025-01-01,北門區,臺南市,0.0
2025-01-01,卓溪鄉,花蓮縣,0.0
2025-01-01,南州鄉,屏東縣,0.0
2025-01-01,南投市,南投縣,0.0
2025-01-01,口湖鄉,雲林縣,0.0
2025-01-01,和美鎮,彰化縣,0.0
2025-01-01,員林市,彰化縣,0.0
2025-01-01,四湖鄉,雲林縣,0.0
2025-01-01,土庫鎮,雲林縣,0.0
2025-01-01,埔里鎮,南投縣,0.0
2025-01-01,埔鹽鄉,彰化縣,0.0
2025-01-01,壽豐鄉,花蓮縣,0.0
2025-01-01,大內區,臺南市,0.0
2025-01-01,大城鄉,彰化縣,0.0
2025-01-01,大埤鄉,雲林縣,0.0
2025-01-01,大村鄉,彰化縣,0.0
2025-01-01,太保市,嘉義縣,0.0
2025-01-01,富里鄉,花蓮縣,0.0
2025-01-01,左鎮區,臺南市,0.0
2025-01-01,布袋鎮,嘉義縣,0.0
2025-01-01,彰化市,彰化縣,0.0
2025-01-01,恆春鎮,屏東縣,0.0
2025-01-01,斗六市,雲林縣,0.0
2025-01-01,斗南鎮,雲林縣,0.0
2025-01-01,新城鄉,花蓮縣,0.0
2025-01-01,新港鄉,嘉義縣,0.0
2025-01-01,新營區,臺南市,0.0
2025-01-01,旗山區,高雄市,0.0
2025-01-01,朴子市,嘉義縣,0.0
2025-01-01,東勢鄉,雲林縣,0.0
2025-01-01,東區,新竹市,0.0
2025-01-01,東港鎮,屏東縣,0.0
2025-01-01,東石鄉,嘉義縣,0.0
2025-01-01,枋寮鄉,屏東縣,0.0
2025-01-01,林邊鄉,屏東縣,0.0
2025-01-01,梅山鄉,嘉義縣,0.0
2025-01-01,民雄鄉,嘉義縣,0.0
2025-01-01,水上鄉,嘉義縣,0.0
2025-01-01,水林鄉,雲林縣,0.0
2025-01-01,溪口鄉,嘉義縣,0.0
2025-01-01,溪湖鎮,彰化縣,0.0
2025-01-01,玉里鎮,花蓮縣,0.0
2025-01-01,田中鎮,彰化縣,0.0
